iter	Passed	Remaining
405	5736	8392
406	5748	8375
407	5763	8362
408	5776	8347
409	5790	8332
410	5803	8316
411	5817	8302
412	5831	8288
413	5845	8273
414	5858	8258
415	5872	8244
416	5886	8230
417	5900	8215
418	5912	8198
419	5925	8182
420	5937	8165
421	5950	8150
422	5963	8134
423	5975	8117
424	5989	8103
425	6002	8087
426	6014	8071
427	6026	8054
428	6039	8039
429	6053	8023
430	6066	8008
431	6079	7993
432	6093	7978
433	6105	7962
434	6118	7947
435	6131	7932
436	6144	7916
437	6157	7900
438	6169	7884
439	6181	7867
440	6194	7851
441	6207	7836
442	6222	7823
443	6235	7808
444	6248	7792
445	6267	7785
446	6286	7776
447	6304	7767
448	6324	7761
449	6341	7750
450	6356	7737
451	6371	7725
452	6386	7711
453	6401	7698
454	6415	7684
455	6429	7670
456	6443	7655
457	6456	7640
458	6470	7626
459	6483	7611
460	6497	7596
461	6512	7583
462	6526	7569
463	6540	7555
464	6554	7541
465	6568	7527
466	6582	7512
467	6596	7498
468	6611	7486
469	6626	7471
470	6640	7457
471	6654	7443
472	6668	7429
473	6681	7414
474	6694	7399
475	6708	7385
476	6723	7371
477	6737	7357
478	6751	7343
479	6766	7330
480	6780	7315
481	6792	7299
482	6805	7284
483	6819	7269
484	6832	7254
485	6844	7238
486	6856	7223
487	6870	7208
488	6884	7193
489	6896	7178
490	6909	7162
491	6922	7147
492	6935	7132
493	6947	7116
494	6959	7100
495	6972	7084
496	6984	7069
497	6997	7053
498	7009	7037
499	7022	7022
500	7036	7008
501	7050	6993
502	7062	6978
503	7074	6962
504	7088	6948
505	7102	6933
506	7114	6918
507	7127	6902
508	7140	6887
509	7153	6873
510	7166	6858
511	7179	6843
512	7192	6827
513	7204	6812
514	7216	6796
515	7228	6780
516	7242	6765
517	7254	6750
518	7266	6734
519	7279	6719
520	7291	6704
521	7306	6690
522	7318	6674
523	7330	6658
524	7342	6643
525	7354	6627
526	7367	6612
527	7380	6597
528	7392	6581
529	7405	6566
530	7418	6552
531	7431	6537
532	7444	6522
533	7458	6508
534	7471	6494
535	7483	6478
536	7496	6463
537	7510	6449
538	7523	6435
539	7536	6419
540	7548	6404
541	7561	6389
542	7576	6376
543	7589	6361
544	7603	6347
545	7616	6333
546	7630	6318
547	7643	6304
548	7656	6289
549	7669	6275
550	7683	6260
551	7698	6247
552	7710	6232
553	7723	6218
554	7736	6203
555	7749	6188
556	7762	6173
557	7775	6159
558	7788	6144
559	7801	6129
560	7814	6114
561	7826	6099
562	7840	6085
563	7853	6071
564	7866	6056
565	7879	6041
566	7891	6026
567	7904	6011
568	7916	5996
569	7929	5982
570	7942	5967
571	7954	5952
572	7967	5937
573	7980	5922
574	7992	5907
575	8006	5893
576	8019	5879
577	8032	5864
578	8044	5849
579	8059	5835
580	8073	5822
581	8087	5808
582	8100	5793
583	8113	5779
584	8126	5764
585	8138	5749
586	8151	5735
587	8163	5720
588	8176	5705
589	8188	5690
590	8200	5675
591	8213	5660
592	8226	5646
593	8239	5631
594	8252	5617
595	8265	5602
596	8278	5588
597	8291	5574
598	8304	5559
599	8317	5544
600	8330	5530
601	8344	5516
602	8357	5502
603	8370	5487
604	8382	5473
605	8396	5459
606	8409	5444
607	8421	5429
608	8434	5415
609	8448	5401
610	8461	5387
611	8474	5372
612	8486	5357
613	8499	5343
614	8513	5329
615	8525	5314
616	8539	5300
617	8553	5287
618	8566	5272
619	8578	5258
620	8591	5243
621	8604	5229
622	8617	5214
623	8630	5200
624	8642	5185
625	8655	5171
626	8669	5157
627	8682	5143
628	8695	5128
629	8707	5113
630	8720	5099
631	8733	5085
632	8747	5071
633	8760	5057
634	8774	5043
635	8787	5029
636	8800	5014
637	8813	5000
638	8826	4986
639	8839	4972
640	8852	4957
641	8866	4944
642	8880	4930
643	8893	4916
644	8906	4901
645	8918	4887
646	8932	4873
647	8945	4859
648	8958	4845
649	8971	4830
650	8983	4816
651	8996	4801
652	9009	4787
653	9022	4773
654	9035	4758
655	9047	4744
656	9059	4729
657	9072	4715
658	9085	4701
659	9098	4687
660	9111	4673
661	9124	4658
662	9137	4644
663	9151	4630
664	9164	4616
665	9176	4602
666	9188	4587
667	9201	4573
668	9213	4558
669	9226	4544
670	9238	4529
671	9250	4515
672	9263	4500
673	9275	4486
674	9287	4471
675	9299	4457
676	9313	4443
677	9326	4429
678	9338	4414
679	9351	4400
680	9364	4386
681	9377	4372
682	9389	4358
683	9402	4343
684	9415	4329
685	9428	4315
686	9441	4301
687	9453	4287
688	9466	4272
689	9478	4258
690	9490	4244
691	9503	4229
692	9515	4215
693	9528	4201
694	9542	4187
695	9555	4173
696	9567	4159
697	9585	4147
698	9602	4134
699	9618	4122
700	9635	4109
701	9653	4098
702	9668	4084
703	9682	4071
704	9698	4058
705	9711	4044
706	9724	4030
707	9737	4015
708	9749	4001
709	9761	3987
710	9774	3973
711	9786	3958
712	9798	3944
713	9811	3929
714	9822	3915
715	9835	3901
716	9847	3886
717	9859	3872
718	9872	3858
719	9885	3844
720	9898	3830
721	9910	3815
722	9924	3802
723	9937	3788
724	9949	3774
725	9962	3759
726	9975	3745
727	9988	3731
728	10000	3717
729	10012	3703
730	10024	3689
731	10037	3674
732	10049	3660
733	10063	3646
734	10076	3633
735	10090	3619
736	10103	3605
737	10116	3591
738	10128	3577
739	10141	3563
740	10154	3549
741	10166	3535
742	10179	3521
743	10194	3507
744	10208	3494
745	10221	3480
746	10234	3466
747	10247	3452
748	10260	3438
749	10273	3424
750	10286	3410
751	10300	3397
752	10313	3383
753	10327	3369
754	10339	3355
755	10352	3341
756	10365	3327
757	10378	3313
758	10391	3299
759	10404	3285
760	10418	3272
761	10432	3258
762	10445	3244
763	10458	3230
764	10472	3216
765	10486	3203
766	10499	3189
767	10511	3175
768	10524	3161
769	10536	3147
770	10550	3133
771	10563	3119
772	10577	3106
773	10590	3092
774	10602	3078
775	10615	3064
776	10627	3050
777	10640	3036
778	10653	3022
779	10667	3008
780	10681	2995
781	10694	2981
782	10707	2967
783	10721	2953
784	10733	2939
785	10746	2925
786	10759	2912
787	10772	2898
788	10784	2884
789	10797	2870
790	10809	2856
791	10822	2842
792	10834	2828
793	10847	2814
794	10860	2800
795	10873	2786
796	10886	2772
797	10898	2758
798	10911	2744
799	10924	2731
800	10936	2717
801	10949	2703
802	10961	2689
803	10973	2675
804	10986	2661
805	11000	2647
806	11013	2633
807	11026	2620
808	11039	2606
809	11052	2592
810	11064	2578
811	11077	2564
812	11090	2550
813	11103	2537
814	11115	2523
815	11130	2509
816	11143	2496
817	11156	2482
818	11168	2468
819	11183	2454
820	11196	2441
821	11209	2427
822	11221	2413
823	11235	2399
824	11248	2386
825	11260	2372
826	11274	2358
827	11287	2344
828	11300	2331
829	11313	2317
830	11325	2303
831	11338	2289
832	11350	2275
833	11362	2261
834	11375	2247
835	11388	2234
836	11401	2220
837	11415	2206
838	11427	2192
839	11440	2179
840	11454	2165
841	11468	2152
842	11480	2138
843	11492	2124
844	11505	2110
845	11519	2096
846	11532	2083
847	11546	2069
848	11559	2055
849	11572	2042
850	11587	2028
851	11600	2015
852	11614	2001
853	11628	1988
854	11641	1974
855	11655	1960
856	11669	1947
857	11682	1933
858	11695	1919
859	11708	1906
860	11721	1892
861	11735	1878
862	11749	1865
863	11762	1851
864	11775	1837
865	11788	1824
866	11803	1810
867	11816	1796
868	11829	1783
869	11842	1769
870	11856	1756
871	11870	1742
872	11882	1728
873	11896	1715
874	11909	1701
875	11921	1687
876	11935	1673
877	11948	1660
878	11960	1646
879	11973	1632
880	11985	1618
881	11999	1605
882	12013	1591
883	12027	1578
884	12039	1564
885	12052	1550
886	12065	1537
887	12078	1523
888	12091	1509
889	12103	1495
890	12116	1482
891	12130	1468
892	12142	1454
893	12154	1441
894	12167	1427
895	12181	1413
896	12194	1400
897	12208	1386
898	12221	1373
899	12234	1359
900	12248	1345
901	12260	1332
902	12273	1318
903	12285	1304
904	12298	1291
905	12311	1277
906	12323	1263
907	12336	1249
908	12350	1236
909	12363	1222
910	12376	1209
911	12390	1195
912	12403	1181
913	12416	1168
914	12428	1154
915	12439	1140
916	12452	1127
917	12464	1113
918	12476	1099
919	12489	1086
920	12503	1072
921	12515	1058
922	12529	1045
923	12542	1031
924	12556	1018
925	12568	1004
